age,workclass,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,Private,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,<=50K
51,Private,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
58,Private,9,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K
50,Private,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
66,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,2653,0,40,United-States,<=50K
38,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,9,Never-married,Farming-fishing,Not-in-family,White,Male,2907,0,99,United-States,<=50K
26,Private,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
63,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,1902,60,United-States,>50K
57,Private,6,Divorced,Other-service,Not-in-family,Other,Female,0,0,20,United-States,<=50K
50,Private,13,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,20,Other,<=50K
47,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
30,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
60,Private,14,Never-married,Exec-managerial,Not-in-family,White,Female,3325,0,35,United-States,<=50K
63,Private,11,Widowed,Adm-clerical,Unmarried,White,Female,0,0,8,United-States,<=50K
20,Unknown,6,Never-married,Unknown,Not-in-family,White,Female,0,0,30,United-States,<=50K
43,Private,13,Divorced,Prof-specialty,Not-in-family,White,Female,14344,0,40,United-States,>50K
28,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,10,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
30,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K
32,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,50,United-States,<=50K
39,Self-emp-not-inc,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
18,Private,9,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
35,Private,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,60,United-States,<=50K
51,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
40,State-gov,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,<=50K
26,Private,10,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
38,Private,2,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,Other,<=50K
72,Unknown,9,Widowed,Unknown,Not-in-family,White,Female,0,0,8,United-States,<=50K
31,Private,11,Divorced,Sales,Own-child,White,Female,0,0,38,United-States,<=50K
26,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K
22,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
51,Unknown,10,Married-civ-spouse,Unknown,Husband,White,Male,0,0,24,United-States,<=50K
31,Private,10,Never-married,Sales,Not-in-family,Other,Female,0,0,50,United-States,<=50K
39,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
56,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,Other,>50K
35,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,80,United-States,>50K
41,Self-emp-not-inc,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,60,Other,>50K
31,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K
41,Local-gov,14,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K
39,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,48,United-States,>50K
36,Self-emp-not-inc,13,Never-married,Sales,Not-in-family,Black,Female,2174,0,50,United-States,<=50K
48,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
27,Self-emp-not-inc,9,Never-married,Craft-repair,Not-in-family,White,Male,0,2258,50,United-States,<=50K
29,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,>50K
39,Self-emp-inc,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
60,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
62,State-gov,11,Widowed,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K
68,Self-emp-not-inc,9,Never-married,Sales,Not-in-family,White,Male,0,0,24,United-States,>50K
33,Private,12,Never-married,Other-service,Not-in-family,White,Male,0,0,60,Other,<=50K
34,Unknown,10,Widowed,Unknown,Unmarried,White,Female,0,0,40,United-States,<=50K
29,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
40,Private,4,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,<=50K
37,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
47,Private,13,Widowed,Priv-house-serv,Unmarried,White,Female,25236,0,35,United-States,>50K
42,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,12,Never-married,Craft-repair,Own-child,White,Male,0,0,20,Other,<=50K
19,State-gov,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
30,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
24,Federal-gov,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,25,United-States,<=50K
48,Self-emp-inc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United-States,>50K
33,Private,11,Divorced,Sales,Not-in-family,White,Male,0,0,25,United-States,<=50K
35,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,40,United-States,<=50K
23,Private,13,Never-married,Handlers-cleaners,Other-relative,White,Female,0,0,40,Other,<=50K
75,Self-emp-not-inc,11,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,<=50K
50,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,7,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,35,United-States,<=50K
39,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,24,United-States,<=50K
37,Local-gov,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
48,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Other,>50K
36,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Private,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
49,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
25,Private,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,50,United-States,<=50K
23,Private,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
26,State-gov,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,State-gov,9,Divorced,Adm-clerical,Unmarried,White,Female,1831,0,38,United-States,<=50K
33,Private,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
49,Private,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
24,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
53,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K
28,Private,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,37,United-States,>50K
24,Private,13,Divorced,Transport-moving,Unmarried,White,Female,0,0,40,United-States,<=50K
55,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,6418,0,50,United-States,>50K
29,Private,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Self-emp-inc,10,Never-married,Sales,Not-in-family,White,Male,0,0,75,United-States,<=50K
50,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,<=50K
22,Unknown,10,Never-married,Unknown,Own-child,White,Female,0,0,40,Other,<=50K
45,Private,14,Never-married,Adm-clerical,Not-in-family,Other,Female,0,0,40,Other,<=50K
20,Unknown,9,Never-married,Unknown,Own-child,White,Male,0,0,40,United-States,<=50K
34,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
22,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
53,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Private,13,Divorced,Exec-managerial,Not-in-family,Other,Female,0,0,40,Other,<=50K
59,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7688,0,40,United-States,>50K
36,Unknown,9,Divorced,Unknown,Not-in-family,White,Female,0,0,40,United-States,<=50K
43,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K
23,Private,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,<=50K
18,Private,7,Never-married,Craft-repair,Own-child,White,Male,0,0,25,United-States,<=50K
19,Private,10,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,20,United-States,<=50K
44,Private,13,Never-married,Other-service,Not-in-family,White,Male,0,0,48,United-States,<=50K
24,Unknown,5,Never-married,Unknown,Own-child,White,Female,0,0,20,United-States,<=50K
23,Private,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
58,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,>50K
36,Private,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
63,Private,9,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,<=50K
51,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,7,Never-married,Other-service,Unmarried,White,Female,0,0,28,United-States,<=50K
62,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,25,United-States,<=50K
54,Self-emp-not-inc,10,Divorced,Farming-fishing,Unmarried,White,Female,10520,0,30,United-States,>50K
64,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,>50K
35,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,61,United-States,>50K
22,Private,10,Never-married,Adm-clerical,Not-in-family,Other,Male,0,0,40,Unknown,<=50K
53,Private,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
52,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60,United-States,<=50K
71,Local-gov,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,3,United-States,<=50K
18,Private,9,Never-married,Other-service,Not-in-family,White,Male,0,0,20,United-States,<=50K
51,Private,9,Divorced,Other-service,Other-relative,Black,Male,0,0,32,Other,<=50K
47,Unknown,9,Married-civ-spouse,Unknown,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,9,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,United-States,<=50K
29,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
57,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
56,State-gov,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
19,Unknown,10,Never-married,Unknown,Own-child,White,Male,0,0,50,United-States,<=50K
42,Private,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,Unknown,<=50K
36,Local-gov,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
28,Federal-gov,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States,<=50K
56,Federal-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States,>50K
20,Private,7,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
47,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
43,Private,10,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
62,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,>50K
42,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2057,40,United-States,<=50K
30,Private,11,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,>50K
25,Private,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,20,United-States,<=50K
44,State-gov,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,<=50K
28,Private,5,Married-civ-spouse,Sales,Husband,White,Male,4508,0,40,United-States,<=50K
49,Private,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Federal-gov,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
39,Private,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
28,Unknown,13,Never-married,Unknown,Own-child,Black,Female,0,0,40,Other,<=50K
40,Private,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,30,United-States,<=50K
56,Unknown,9,Married-civ-spouse,Unknown,Husband,White,Male,0,0,25,United-States,<=50K
32,Private,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,24,United-States,>50K
49,Federal-gov,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,>50K
53,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
40,Private,10,Divorced,Other-service,Not-in-family,White,Female,0,0,48,United-States,<=50K
19,Unknown,9,Never-married,Unknown,Other-relative,Black,Male,0,0,20,United-States,<=50K
39,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,32,United-States,>50K
30,Private,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,24,United-States,<=50K
33,State-gov,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
36,Private,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,<=50K
44,State-gov,7,Separated,Tech-support,Not-in-family,Black,Male,0,0,40,United-States,<=50K
45,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,>50K
59,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3103,0,35,United-States,>50K
22,Private,10,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
31,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Private,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
55,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,25,United-States,<=50K
25,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,3325,0,45,United-States,<=50K
47,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
55,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
29,Private,12,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,Private,15,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,Unknown,<=50K
40,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,60,United-States,>50K
41,Private,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
22,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
53,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
56,State-gov,6,Widowed,Other-service,Not-in-family,White,Female,0,0,37,United-States,<=50K
24,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2407,0,40,United-States,<=50K
57,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
35,Private,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,<=50K
40,Unknown,7,Married-civ-spouse,Unknown,Wife,White,Female,0,0,16,United-States,<=50K
44,Private,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
41,Self-emp-inc,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,62,United-States,<=50K
49,Private,6,Separated,Exec-managerial,Not-in-family,Black,Male,4416,0,99,United-States,<=50K
24,Self-emp-not-inc,10,Never-married,Prof-specialty,Not-in-family,Other,Male,0,0,30,United-States,>50K
20,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K
28,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
27,Private,13,Never-married,Sales,Not-in-family,White,Female,0,2258,55,United-States,<=50K
50,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,10,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K
26,Private,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
24,Local-gov,10,Separated,Protective-serv,Not-in-family,White,Male,0,0,60,United-States,<=50K
48,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
32,Private,14,Married-civ-spouse,Sales,Wife,White,Female,0,0,45,United-States,>50K
70,Private,3,Widowed,Other-service,Other-relative,White,Female,2346,0,40,Unknown,<=50K
59,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
50,Unknown,11,Never-married,Unknown,Unmarried,Black,Female,0,0,16,United-States,<=50K
19,Private,7,Never-married,Sales,Own-child,Other,Female,0,0,19,Other,<=50K
68,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
40,Private,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
42,Federal-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,12,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,40,United-States,>50K
36,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
34,Private,6,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K
45,Federal-gov,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States,>50K
62,Private,4,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Self-emp-not-inc,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
37,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
63,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,<=50K
43,Private,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,50,United-States,<=50K
27,Federal-gov,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
46,Private,9,Separated,Craft-repair,Unmarried,Black,Female,0,0,40,Unknown,<=50K
28,Private,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
45,State-gov,15,Divorced,Prof-specialty,Unmarried,White,Female,0,0,43,United-States,<=50K
24,Private,5,Divorced,Other-service,Own-child,White,Female,0,0,35,United-States,<=50K
28,Private,10,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,40,Other,<=50K
61,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
68,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,<=50K
43,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
56,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
33,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
53,Private,9,Divorced,Craft-repair,Unmarried,Black,Female,0,0,48,United-States,<=50K
33,Private,11,Never-married,Other-service,Unmarried,Black,Male,0,0,40,United-States,<=50K
71,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
52,Federal-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
44,Self-emp-not-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,54,United-States,<=50K
21,Private,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
